run_id,driv_id,soil_id,crop_id,description,site,country,lat,lon,crop_nm,variety,treatment,irrigaTrueion,plan_year,plan_doy,harv_year,harv_doy,spinup_days,label,source,planting_type,plan_depth,rowspacing,plants_m,plants_ha,area_ha,residue,residue_type,residue_amount_ton_ha,soil,observation,run_jules,sim_base
SC0037,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0.25,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,25%Mulch,FALSE,2014,226,2015,226,60,,,Ratoon1,,,,,,,,5.1,,,FALSE,base_setup_01.csv
SC0038,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0.25,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,25%Mulch,FALSE,2014,287,2015,348,60,,,Ratoon1,,,,,,,,4.2,,,FALSE,base_setup_01.csv
SC0039,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0.25,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,25%Mulch,FALSE,2014,287,2015,348,60,,,Ratoon1,,,,,,,,4,,,FALSE,base_setup_01.csv
SC0040,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0.25,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,25%Mulch,FALSE,2015,226,2016,227,60,,,Ratoon2,,,,,,,,3.2,,,FALSE,base_setup_01.csv
SC0041,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0.25,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,25%Mulch,FALSE,2015,226,2016,227,60,,,Ratoon2,,,,,,,,4.1,,,FALSE,base_setup_01.csv
SC0042,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0.25,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,25%Mulch,FALSE,2015,348,2016,288,60,,,Ratoon2,,,,,,,,2.4,,,FALSE,base_setup_01.csv
SC0043,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0.25,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,25%Mulch,FALSE,2015,348,2016,288,60,,,Ratoon2,,,,,,,,3.2,,,FALSE,base_setup_01.csv
SC0044,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0.5,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,50%Mulch,FALSE,2014,226,2015,226,60,,,Ratoon1,,,,,,,,7.8,,,FALSE,base_setup_01.csv
SC0045,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0.5,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,50%Mulch,FALSE,2014,226,2015,226,60,,,Ratoon1,,,,,,,,8.4,,,FALSE,base_setup_01.csv
SC0046,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0.5,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,50%Mulch,FALSE,2014,287,2015,348,60,,,Ratoon1,,,,,,,,8.7,,,FALSE,base_setup_01.csv
SC0047,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0.5,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,50%Mulch,FALSE,2014,287,2015,348,60,,,Ratoon1,,,,,,,,10.2,,,FALSE,base_setup_01.csv
SC0048,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0.5,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,50%Mulch,FALSE,2015,226,2016,227,60,,,Ratoon2,,,,,,,,9.7,,,FALSE,base_setup_01.csv
SC0049,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0.5,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,50%Mulch,FALSE,2015,226,2016,227,60,,,Ratoon2,,,,,,,,7.9,,,FALSE,base_setup_01.csv
SC0050,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0.5,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,50%Mulch,FALSE,2015,348,2016,288,60,,,Ratoon2,,,,,,,,5.5,,,FALSE,base_setup_01.csv
SC0051,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0.5,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,50%Mulch,FALSE,2015,348,2016,288,60,,,Ratoon2,,,,,,,,6.8,,,FALSE,base_setup_01.csv
SC0052,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0.75,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,75%Mulch,FALSE,2014,226,2015,226,60,,,Ratoon1,,,,,,,,13,,,FALSE,base_setup_01.csv
SC0053,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0.75,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,75%Mulch,FALSE,2014,226,2015,226,60,,,Ratoon1,,,,,,,,11.4,,,FALSE,base_setup_01.csv
SC0054,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0.75,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,75%Mulch,FALSE,2014,287,2015,348,60,,,Ratoon1,,,,,,,,15.1,,,FALSE,base_setup_01.csv
SC0055,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0.75,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,75%Mulch,FALSE,2014,287,2015,348,60,,,Ratoon1,,,,,,,,12.5,,,FALSE,base_setup_01.csv
SC0056,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0.75,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,75%Mulch,FALSE,2015,226,2016,227,60,,,Ratoon2,,,,,,,,11.4,,,FALSE,base_setup_01.csv
SC0057,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 0.75,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,75%Mulch,FALSE,2015,226,2016,227,60,,,Ratoon2,,,,,,,,9.6,,,FALSE,base_setup_01.csv
SC0058,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0.75,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,75%Mulch,FALSE,2015,348,2016,288,60,,,Ratoon2,,,,,,,,10.5,,,FALSE,base_setup_01.csv
SC0059,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 0.75,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,75%Mulch,FALSE,2015,348,2016,288,60,,,Ratoon2,,,,,,,,11.6,,,FALSE,base_setup_01.csv
SC0060,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 1,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,100%Mulch,FALSE,2014,226,2015,226,60,,,Ratoon1,,,,,,,,16.6,,,FALSE,base_setup_01.csv
SC0061,,,CRSC0001,Mulch Effect on Sugarcane Growth Dry Season frac_mulch 1,Usina Univalem (Valparaiso - SP),Brazil,21°14'48,50°47'04,Sugarcane,RB867515,100%Mulch,FALSE,2014,226,2015,226,60,,,Ratoon1,,,,,,,,15,,,FALSE,base_setup_01.csv
SC0062,,,CRSC0001,Mulch Effect on Sugarcane Growth Wet Season frac_mulch 1,Usina Bom Retiro (Capivari - SP),Brazil,22°59'42,47°30'34,Sugarcane,CTC14,100%Mulch,FALSE,2014,287,2015,348,60,,,Ratoon1,,,,,,,,18.9,,,FALSE,base_setup_01.csv
